2014-12-19 12:51:15 INFO  QueuePriorityAlgorithm:82 - size of seed urls: 1
2014-12-19 12:51:17 WARN  HibernatePersistence:58 - HHH015016: Encountered a deprecated javax.persistence.spi.PersistenceProvider [org.hibernate.ejb.HibernatePersistence]; use [org.hibernate.jpa.HibernatePersistenceProvider] instead.
2014-12-19 12:51:17 WARN  HibernatePersistence:58 - HHH015016: Encountered a deprecated javax.persistence.spi.PersistenceProvider [org.hibernate.ejb.HibernatePersistence]; use [org.hibernate.jpa.HibernatePersistenceProvider] instead.
2014-12-19 12:51:17 WARN  HibernatePersistence:58 - HHH015016: Encountered a deprecated javax.persistence.spi.PersistenceProvider [org.hibernate.ejb.HibernatePersistence]; use [org.hibernate.jpa.HibernatePersistenceProvider] instead.
2014-12-19 12:51:17 INFO  LogHelper:46 - HHH000204: Processing PersistenceUnitInfo [
	name: urlEntry
	...]
2014-12-19 12:51:18 INFO  Version:54 - HHH000412: Hibernate Core {4.3.3.Final}
2014-12-19 12:51:18 INFO  Environment:239 - HHH000206: hibernate.properties not found
2014-12-19 12:51:18 INFO  Environment:346 - HHH000021: Bytecode provider name : javassist
2014-12-19 12:51:18 INFO  Version:66 - HCANN000001: Hibernate Commons Annotations {4.0.4.Final}
2014-12-19 12:51:18 INFO  C3P0ConnectionProvider:133 - HHH010002: C3P0 using driver: com.mysql.jdbc.Driver at URL: jdbc:mysql://127.0.0.1:3306/urlEntry
2014-12-19 12:51:18 INFO  C3P0ConnectionProvider:134 - HHH000046: Connection properties: {user=root, password=****}
2014-12-19 12:51:18 INFO  C3P0ConnectionProvider:137 - HHH000006: Autocommit mode: false
2014-12-19 12:51:18 INFO  MLog:92 - MLog clients using log4j logging.
2014-12-19 12:51:19 INFO  C3P0Registry:216 - Initializing c3p0-0.9.2.1 [built 20-March-2013 10:47:27 +0000; debug? true; trace: 10]
2014-12-19 12:51:19 INFO  AbstractPoolBackedDataSource:522 - Initializing c3p0 pool... com.mchange.v2.c3p0.PoolBackedDataSource@ede6b8ae [ connectionPoolDataSource -> com.mchange.v2.c3p0.WrapperConnectionPoolDataSource@b2096949 [ acquireIncrement -> 3, acquireRetryAttempts -> 30, acquireRetryDelay -> 1000, autoCommitOnClose -> false, automaticTestTable -> null, breakAfterAcquireFailure -> false, checkoutTimeout -> 0, connectionCustomizerClassName -> null, connectionTesterClassName -> com.mchange.v2.c3p0.impl.DefaultConnectionTester, debugUnreturnedConnectionStackTraces -> false, factoryClassLocation -> null, forceIgnoreUnresolvedTransactions -> false, identityToken -> 1hges5d96r4c4rs14cg2oq|c1bd0be, idleConnectionTestPeriod -> 0, initialPoolSize -> 1, maxAdministrativeTaskTime -> 0, maxConnectionAge -> 0, maxIdleTime -> 30, maxIdleTimeExcessConnections -> 0, maxPoolSize -> 12, maxStatements -> 10, maxStatementsPerConnection -> 0, minPoolSize -> 1, nestedDataSource -> com.mchange.v2.c3p0.DriverManagerDataSource@7c108321 [ description -> null, driverClass -> null, factoryClassLocation -> null, identityToken -> 1hges5d96r4c4rs14cg2oq|d3957fe, jdbcUrl -> jdbc:mysql://127.0.0.1:3306/urlEntry, properties -> {user=******, password=******} ], preferredTestQuery -> null, propertyCycle -> 0, statementCacheNumDeferredCloseThreads -> 0, testConnectionOnCheckin -> false, testConnectionOnCheckout -> false, unreturnedConnectionTimeout -> 0, usesTraditionalReflectiveProxies -> false; userOverrides: {} ], dataSourceName -> null, factoryClassLocation -> null, identityToken -> 1hges5d96r4c4rs14cg2oq|62452cc9, numHelperThreads -> 3 ]
2014-12-19 12:51:19 INFO  Dialect:145 - HHH000400: Using dialect: org.hibernate.dialect.MySQLDialect
2014-12-19 12:51:19 INFO  LobCreatorBuilder:97 - HHH000423: Disabling contextual LOB creation as JDBC driver reported JDBC version [3] less than 4
2014-12-19 12:51:20 INFO  ASTQueryTranslatorFactory:47 - HHH000397: Using ASTQueryTranslatorFactory
2014-12-19 12:51:20 INFO  SchemaUpdate:182 - HHH000228: Running hbm2ddl schema update
2014-12-19 12:51:20 INFO  SchemaUpdate:193 - HHH000102: Fetching database metadata
2014-12-19 12:51:20 INFO  SchemaUpdate:205 - HHH000396: Updating schema
2014-12-19 12:51:20 INFO  DatabaseMetaData:147 - HHH000262: Table not found: UrlEntry
2014-12-19 12:51:20 INFO  DatabaseMetaData:147 - HHH000262: Table not found: UrlEntry
2014-12-19 12:51:20 INFO  DatabaseMetaData:147 - HHH000262: Table not found: UrlEntry
2014-12-19 12:51:20 INFO  SchemaUpdate:242 - HHH000232: Schema update complete
2014-12-19 12:51:21 WARN  HqlSqlWalker:995 - [DEPRECATION] Encountered positional parameter near line 1, column 55.  Positional parameter are considered deprecated; use named parameters or JPA-style positional parameters instead.
2014-12-19 12:51:21 INFO  QueuePriorityAlgorithm:82 - size of seed urls: 26
2014-12-19 12:51:22 INFO  QueuePriorityAlgorithm:82 - size of seed urls: 25
2014-12-19 12:51:23 INFO  QueuePriorityAlgorithm:82 - size of seed urls: 24
2014-12-19 12:51:24 INFO  QueuePriorityAlgorithm:82 - size of seed urls: 23
